pmid,title,category,tags,confidence,category_manual,tags_manual,confidence_manual,agrees,notes
28800016,FISH Analysis of TOP2A and HER-2 Aberrations in Female Breast Carcinoma on Archived Material: Egyptian NCI Experience.,Research,,high,,,,,
39400332,Xenomake: a pipeline for processing and sorting xenograft reads from spatial transcriptomic experiments.,Technology,Spatial Preprocessing,high,,,,,
41610921,Immunotherapy-driven remodeling of the tumor immune microenvironment: Spatiotemporal heterogeneity and multidimensional ,Review,,high,,,,,
30168245,A triple-probe FISH screening strategy for risk-stratified therapy of acute lymphoblastic leukaemia in low-resource sett,Research,,low,,,,,
39110523,Computational Strategies and Algorithms for Inferring Cellular Composition of Spatial Transcriptomics Data.,Review,Cell-Type Deconvolution,high,,,,,
40804270,Single cell spatial transcriptomics links Wnt signaling disruption to extracellular matrix development in a cleft palate,Research,Spatially Variable Genes; Niche & Microenvironment,high,,,,,
31562206,Multiplex fluorescence in situ hybridisation to detect anaplastic lymphoma kinase and ROS proto-oncogene 1 receptor tyro,Research,,high,,,,,
39611685,Spatiotemporal analysis of lung immune dynamics in lethal <i>Coccidioides posadasii</i> infection.,Research,Cell-Type Deconvolution; Cell-Cell Communication,medium,,,,,
40563563,Spatial Transcriptomics in Lung Cancer and Pulmonary Diseases: A Comprehensive Review.,Review,Cell-Cell Communication; Niche & Microenvironment; Spatially Variable Genes,high,,,,,
41001552,ZipAEr: A compressive convolutional autoencoder for high-dimensional spatial omics data at subcellular resolution.,Technology,Spatial Preprocessing,medium,,,,,
41896221,"HIF1 inhibition targets tumoral and myeloid cells, and is a promising therapy for metastatic castration-resistant prosta",Research,Niche & Microenvironment,medium,,,,,
33197012,Murine Limb Bud Organ Cultures for Studying Musculoskeletal Development.,Protocol,,high,,,,,
42143353,A multi-omics dissection of INHBA<sup>+</sup> CAF-mediated epithelial-mesenchymal transition and immune suppression in c,Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Domain Identification,high,,,,,
41579565,POSTN⁺ cancer-associated fibroblast-CCL3⁺ macrophage crosstalk defines the immune-excluded tumor microenvironment in cle,Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Spatial Domain Identification,medium,,,,,
41303670,Neural Cues and Genomic Clues: NGS Insights into Neurogenic Sarcopenia and Muscle Atrophy.,Review,,medium,,,,,
41393923,"Uncovering the genetic architecture of pungency, carotenoids, and flavor in <i>Capsicum chinense</i> via TWAS-mGWAS inte",Research,Spatial Domain Identification; Spatially Variable Genes; Multi-Omics Integration,high,,,,,
37696725,Resolving plant development in space and time with single-cell genomics.,Review,,high,,,,,
38293110,Copper drives remodeling of metabolic state and progression of clear cell renal cell carcinoma.,Research,Niche & Microenvironment,medium,,,,,
39428126,Perioperative chemoimmunotherapy induces strong immune responses and long-term survival in patients with HLA class I-def,Research,Niche & Microenvironment,high,,,,,
39614076,Granzyme K<sup>+</sup>CD8<sup>+</sup> T cells interact with fibroblasts to promote neutrophilic inflammation in nasal po,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
40956558,Epstein-barr virus (EBV) in cervical carcinoma detected by in situ hybridization targeting ebers and the viral genome.,Research,,high,,,,,
38394161,Digital spatial profiling of segmental outflow regions in trabecular meshwork reveals a role for ADAM15.,Research,Niche & Microenvironment,high,,,,,
34226720,PaintSHOP enables the interactive design of transcriptome- and genome-scale oligonucleotide FISH experiments.,Technology,Image-Based Analysis,high,,,,,
41294309,Primate amnion development.,Review,,medium,,,,,
42081452,Syrah: a pipeline to maximize spatial transcriptomics data output.,Technology,Spatial Preprocessing,high,,,,,
38798691,Enhanced Complement Expression in the Tumor Microenvironment Following Neoadjuvant Therapy: Implications for Immunomodul,Research,Niche & Microenvironment,medium,,,,,
39544521,Spatially resolved transcriptomic signatures of hippocampal subregions and <i>Arc</i>-expressing ensembles in active pla,Research,,medium,,,,,
41765358,PANX1-mediated NLRP3 inflammasome activation promotes an adaptive doxorubicin resistance through IL-1β signaling in brea,Research,,medium,,,,,
40866351,Clonal diversity shapes the tumour microenvironment leading to distinct immunotherapy responses in metastatic urothelial,Research,Niche & Microenvironment; Spatial Domain Identification,medium,,,,,
38352580,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies.,Technology,Spatial Domain Identification; Multi-Omics Integration; Image-Based Analysis,medium,,,,,
39710940,Spatial Proteomics towards cellular Resolution.,Review,,medium,,,,,
30121694,Diagnostic Value Comparison of Urothelium Carcinoma Among Urine Exfoliated Cells Fluorescent In Situ Hybridization (FISH,Research,,low,,,,,
38907917,Visualization of Individual RNA Molecules by Proximity Ligation-Based Chromogenic In Situ Hybridization Assay.,Technology,,medium,,,,,
38946588,Granulosa Cell-Layer Stiffening Prevents Escape of Mural Granulosa Cells from the Post-Ovulatory Follicle.,Research,,medium,,,,,
32470320,A Clickable APEX Probe for Proximity-Dependent Proteomic Profiling in Yeast.,Technology,,medium,,,,,
27418132,Responses to crizotinib in patients with ALK-positive lung adenocarcinoma who tested immunohistochemistry (IHC)-positive,Research,,high,,,,,
40671812,Spatiotemporal transcriptomic profiling reveals metabolic dysfunction prior to overt tauopathy in the PS19 mouse model.,Research,,medium,,,,,
29130203,Live Imaging of Nuclear RNPs in Mammalian Complex Tissue with ECHO-liveFISH.,Technology,Image-Based Analysis,high,,,,,
40627455,Hair follicle epithelial stem cells contribute to interfollicular epidermis during homeostasis.,Research,,high,,,,,
41369196,Slicing overcomes the bacterial cell wall barrier to fluorescence <i>in situ</i> hybridization.,Protocol,,medium,,,,,
41269758,Spatial transcriptomics reveals immune-stromal crosstalk within the synovium of patients with juvenile idiopathic arthri,Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,high,,,,,
40945518,Multi-scaled transcriptomics of chronically inflamed nasal epithelium reveals immune-epithelial dynamics and tissue remo,Research,Spatial Trajectory Inference; Cell-Cell Communication; Spatial Integration,medium,,,,,
38406595,Applications of single‑cell omics and spatial transcriptomics technologies in gastric cancer (Review).,Review,,high,,,,,
39692961,Aging and head and neck cancer insights from single cell and spatial transcriptomic analyses.,Research,Cell-Type Deconvolution; Spatial Preprocessing,medium,,,,,
39583094,Development of mutated β-catenin gene signature to identify <i>CTNNB1</i> mutations from whole and spatial transcriptomi,Research,Niche & Microenvironment; Benchmarking & Evaluation; Spatial Integration,medium,,,,,
39374811,Bulk integrated single-cell-spatial transcriptomics reveals the impact of preoperative chemotherapy on cancer-associated,Research,Niche & Microenvironment; Cell-Cell Communication; Spatial Integration,medium,,,,,
39238121,Using colorimetric in situ hybridisation method for FcaPV-2 to estimate postsurgical prognosis in feline Bowenoid in sit,Research,,low,,,,,
39527218,Homebuilt Imaging-Based Spatial Transcriptomics: Tertiary Lymphoid Structures as a Case Example.,Protocol,Image-Based Analysis; Spatial Preprocessing,medium,,,,,
37770450,Thalamocortical control of cell-type specificity drives circuits for processing whisker-related information in mouse bar,Research,Spatially Variable Genes,medium,,,,,
41968061,Senescence Programs Shape the Chronic Wound Microenvironment.,Review,,medium,,,,,
27151704,Assessment of chromosomal aneuploidies in sperm of infertile males by using FISH technique.,Research,,high,,,,,
40500276,"Spatial organization, chromatin accessibility and gene-regulatory programs defining mouse sensory neurons.",Research,Spatial Domain Identification; Spatial Integration; Multi-Omics Integration,high,,,,,
40087269,Expression of ENL YEATS domain tumor mutations in nephrogenic or stromal lineage impairs kidney development.,Research,Spatial Domain Identification; Niche & Microenvironment,medium,,,,,
41228276,Integrated Multi-Omics Analysis Identifies SRI as a Critical Target Promoting Gastric Cancer Progression and Associated ,Research,Multi-Omics Integration,medium,,,,,
28608010,Transcriptome Architecture of Adult Mouse Brain Revealed by Sparse Coding of Genome-Wide In Situ Hybridization Images.,Research,Image-Based Analysis; Spatial Co-Expression,medium,,,,,
40742809,A spatial imaging-transcriptomics paradigm for deciphering the molecular basis of microscopic MRI in the normal brain an,Technology,Spatial Integration; Multi-Omics Integration; Image-Based Analysis,medium,,,,,
39583806,Non-coding RNAs in oral cancer: Emerging biomarkers and therapeutic frontier.,Review,,medium,,,,,
42156717,Spatial single-cell landscape of tumor-associated macrophages and their crosstalk with the tumor microenvironment.,Research,Spatial Integration; Cell-Type Deconvolution; Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
40501673,Spatiotemporal transcriptomic analysis during cold ischemic injury to the murine kidney reveals compartment-specific cha,Research,Spatial Domain Identification; Spatial Preprocessing; Niche & Microenvironment; Spatial Integration,high,,,,,
39388223,Sulfur-oxidizing symbionts colonize the digestive tract of their lucinid hosts.,Research,Image-Based Analysis,medium,,,,,
41787252,Multi-Omics Data Reveal Estrogen-Driven Dysregulation and Stromal-Epithelial Signaling Alterations in Endometrial Polyps,Research,Cell-Cell Communication; Multi-Omics Integration,high,,,,,
38811360,SpaNCMG: improving spatial domains identification of spatial transcriptomics using neighborhood-complementary mixed-view,Technology,Spatial Domain Identification; Benchmarking & Evaluation,high,,,,,
40747415,Towards interpretable molecular and spatial analysis of the tumor microenvironment from digital histopathology images wi,Technology,Image-Based Analysis,high,,,,,
36590163,Alternative normalization and analysis pipeline to address systematic bias in NanoString GeoMx Digital Spatial Profiling,Research,Spatial Preprocessing; Benchmarking & Evaluation; Spatial Co-Expression,high,,,,,
34518039,Detection of NTRK fusions in glioblastoma: fluorescent in situ hybridisation is more useful than pan-TRK immunohistochem,Research,,high,,,,,
39181076,Integrated multi-omics analyses reveal the pro-inflammatory and pro-fibrotic pulmonary macrophage subcluster in silicosi,Research,Spatial Trajectory Inference; Niche & Microenvironment; Spatial Integration; Cell-Type Deconvolution,medium,,,,,
41875300,Host-viral interaction of HBV infection revealed by single-cell transcriptome jointly profiling the viral replication st,Technology,,medium,,,,,
39364136,Embryonic development grand challenge: crosslinking advances.,Review,,medium,,,,,
32298094,In Situ Fluorescence Tomography Enables a 3D Mapping of Enzymatic O<sub>2</sub> Reduction at the Electrochemical Interfa,Technology,,high,,,,,
38555105,Morphology combined with <i>HER2</i> D-DISH ploidy analysis to diagnose partial hydatidiform mole: an evaluation audit u,Research,,high,,,,,
41370001,Clinical ERG break-apart fluorescence in situ hybridization assay: practical utility and lessons from an 8-year tertiary,Research,,high,,,,,
40236251,mcDETECT: Decoding 3D Spatial Synaptic Transcriptomes with Subcellular-Resolution Spatial Transcriptomics.,Technology,Spatial Domain Identification; Benchmarking & Evaluation; 3D Reconstruction; Image-Based Analysis,high,,,,,
37728123,Detection of Human Papillomavirus in Squamous Papilloma of the Esophagus.,Research,,high,,,,,
40545244,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,,,,,,,,
40531365,Unveiling Moxibustion's Impact on AD Mice Learning and Memory: Role of Mitochondrial Respiratory Chain Complex I Subunit,Research,Spatially Variable Genes; Spatial Co-Expression,high,,,,,
40881677,Immunotherapy biomarkers in brain metastases: insights into tumor microenvironment dynamics.,Review,,medium,,,,,
39779896,Sialic acid aptamer and RNA in situ hybridization-mediated proximity ligation assay for spatial imaging of glycoRNAs in ,Protocol,Image-Based Analysis,medium,,,,,
33685491,Giotto: a toolbox for integrative analysis and visualization of spatial expression data.,Technology,Spatial Domain Identification; Spatially Variable Genes; Cell-Type Deconvolution; Cell-Cell Communication,high,,,,,
33558695,Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex.,Research,Spatial Domain Identification; Cell-Type Deconvolution; Spatial Integration; Spatial Preprocessing,high,,,,,
36856115,Single-cell RNA sequencing and spatial transcriptomics reveal cancer-associated fibroblasts in glioblastoma with protumo,Research,Spatial Trajectory Inference; Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
28398467,ST Pipeline: an automated pipeline for spatial mapping of unique transcripts.,Technology,Spatial Preprocessing,high,,,,,
40401371,Single-Cell and Spatial Transcriptomics Identified Fatty Acid-Binding Proteins Controlling Endothelial Glycolytic and Ar,Research,Spatial Domain Identification,medium,,,,,
41540123,Integration of imaging-based and sequencing-based spatial omics mapping on the same tissue section via DBiTplus.,Technology,Multi-Omics Integration; Spatial Integration; Image-Based Analysis; Cell-Type Deconvolution,high,,,,,
31913438,BEM: Mining Coregulation Patterns in Transcriptomics via Boolean Matrix Factorization.,Technology,Spatial Co-Expression,medium,,,,,
35487823,Singling out motor neurons in the age of single-cell transcriptomics.,Review,,high,,,,,
41701590,PGST: A prototype-guided parameter-efficient network for spatial transcriptomics prediction.,Technology,Gene Imputation; Spatial Co-Expression,medium,,,,,
32923457,Pinpointing Cell Identity in Time and Space.,Review,Image-Based Analysis,medium,,,,,
32710401,Quantitative Fluorescence In Situ Hybridization Detection of Plant mRNAs with Single-Molecule Resolution.,Protocol,Image-Based Analysis,medium,,,,,
33230773,Visualizing Mitochondrial Ribosomal RNA and Mitochondrial Protein Synthesis in Human Cell Lines.,Protocol,Image-Based Analysis,medium,,,,,
27537935,Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia Is Separated into Two Subgroups Associated with Survival b,Research,,high,,,,,
41398516,Western Diet Inhibits FUT7-Mediated Treg Intestinal Homing to Disrupt the Homeostasis of Intestinal Epithelial Cells in ,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
35175659,"Liver zonation, revisited.",Review,,medium,,,,,
40220278,Multi-Manifolds fusing hyperbolic graph network balanced by pareto optimization for identifying spatial domains of spati,Technology,Spatial Domain Identification,high,,,,,
41564647,Thyroid hormone signaling causally influences pancreatic disease risk: Evidence from Mendelian randomization and multi-o,Research,Multi-Omics Integration; Niche & Microenvironment,high,,,,,
39550585,Advanced single-cell and spatial analysis with high-multiplex characterization of circulating tumor cells and tumor tiss,Technology,Image-Based Analysis,high,,,,,
35792866,Biological Misinterpretation of Transcriptional Signatures in Tumor Samples Can Unknowingly Undermine Mechanistic Unders,Research,Cell-Type Deconvolution; Benchmarking & Evaluation; Niche & Microenvironment,high,,,,,
41275140,Single-cell and spatial transcriptomics reveal lactylation-associated tumor cell clusters and define a prognostic risk m,Research,Cell-Cell Communication; Spatial Trajectory Inference,medium,,,,,
41637815,Decoding schizophrenia through postmortem human brain transcriptomics.,Review,,high,,,,,
37524695,Schwann cells regulate tumor cells and cancer-associated fibroblasts in the pancreatic ductal adenocarcinoma microenviro,Research,Niche & Microenvironment; Cell-Cell Communication,medium,,,,,
39842636,Molecular and cellular morphology of placenta unveils new mechanisms of reproductive immunology.,Research,Image-Based Analysis; Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
40000871,A spatial transcriptomic signature of 26 genes resolved at single-cell resolution characterizes high-risk gastric cancer,Research,Spatially Variable Genes; Cell-Type Deconvolution; Spatial Domain Identification; Multi-Omics Integration,medium,,,,,
29428551,Detection of Bladder Cancer in Urine Sediments by a Novel Multicolor Fluorescence In Situ Hybridization (Quartet) Test.,Research,,medium,,,,,
38218939,BIDCell: Biologically-informed self-supervised learning for segmentation of subcellular spatial transcriptomics data.,Technology,Image-Based Analysis,medium,,,,,
38355603,Biomarkers and prognostic factors of PD-1/PD-L1 inhibitor-based therapy in patients with advanced hepatocellular carcino,Review,,medium,,,,,
37216588,SMDB: a Spatial Multimodal Data Browser.,Technology,Spatial Domain Identification; Image-Based Analysis; 3D Reconstruction,medium,,,,,
40666928,Cerebellum metastasis model of HER2-positive breast cancer unveils key role of IL34-induced Arg1+ macrophages.,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
40375953,Spatial Pathomics Toolkit for Quantitative Analysis of Podocyte Nuclei with Histology and Spatial Transcriptomics Data i,Technology,Image-Based Analysis; Niche & Microenvironment,medium,,,,,
42121845,"Spatial Biology Evolution: Past, Present and Future of Mapping Life in Context.",Review,,medium,,,,,
32944910,Mapping of Chromosome Territories by 3D-Chromosome Painting During Early Mouse Development.,Protocol,,medium,,,,,
41316065,The co-location of MARCO + macrophages and SPOCK1 + fibroblasts contributes to the poor prognosis and undesirable immuno,Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
36499343,Estimating Metastatic Risk of Pancreatic Ductal Adenocarcinoma at Single-Cell Resolution.,Research,Spatial Domain Identification; Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
38867307,In situ HER2 RNA expression as a predictor of pathologic complete response of HER2-positive breast cancer patients recei,Research,,high,,,,,
40495757,Filtering for Highly Variable Genes and High-Quality Spots Improves Phylogenetic Analysis of Cancer Spatial Transcriptom,Research,Spatial Preprocessing; Benchmarking & Evaluation,medium,,,,,
39207122,Meningeal solitary fibrous tumor cell states phenocopy cerebral vascular development and homeostasis.,Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Spatial Domain Identification,high,,,,,
31319160,Evaluation of two aneuploidy screening tests for chorionic villus samples: Multiplex ligation-dependent probe amplificat,Research,,high,,,,,
40418294,Multiomics in Renal Cell Carcinoma: Current Landscape and Future Directions for Precision Medicine.,Review,Multi-Omics Integration,high,,,,,
28481330,Spatially resolved transcriptome profiling in model plant species.,Research,Spatially Variable Genes; Spatial Domain Identification,medium,,,,,
35073334,Evaluation of deep convolutional neural networks for in situ hybridization gene expression image representation.,Research,Image-Based Analysis,high,,,,,
39846423,SpaGraphCCI: Spatial cell-cell communication inference through GAT-based co-convolutional feature integration.,Technology,Cell-Cell Communication; Benchmarking & Evaluation; Image-Based Analysis,high,,,,,
38561380,Deciphering the spatial landscape and plasticity of immunosuppressive fibroblasts in breast cancer.,Research,Spatial Trajectory Inference; Cell-Type Deconvolution; Niche & Microenvironment; Cell-Cell Communication,medium,,,,,
41279088,Dynamics of local B cell migration during affinity maturation in the human tonsil.,Research,,medium,,,,,
37555396,CD8<sup>+</sup> tissue-resident memory T cells induce oral lichen planus erosion via cytokine network.,Research,Cell-Type Deconvolution; Niche & Microenvironment; Cell-Cell Communication,medium,,,,,
41168438,A novel spatial framework to validate arsenic exposure gene expression profiling in bladder cancer using multiplex FISH ,Research,Image-Based Analysis; Niche & Microenvironment,medium,,,,,
41668173,"Capillary-Associated Microglia in Neurovascular Coupling: Localization, Mechanisms, and Disease Implications.",Review,,high,,,,,
41548005,Association of copy number alterations with the immune transcriptomic landscape in cancer.,Research,,medium,,,,,
41905515,Cellular and molecular landscape of early hidradenitis suppurativa lesions reveals early immune microenvironment.,Research,Spatial Domain Identification; Niche & Microenvironment; Image-Based Analysis,medium,,,,,
41800692,Nanozyme Catalysis Restores Hair Follicle Integrity by Reversing Peroxisomal Collapse.,Research,,medium,,,,,
41758046,Crosstalk between SPP1+ macrophages and ITGA5+ fibroblasts promotes hepatocellular carcinoma metastasis.,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
39422697,Single-cell characterization of differentiation trajectories and drug resistance features in gastric cancer with periton,Research,Cell-Cell Communication; Niche & Microenvironment,high,,,,,
35709828,Spatial profiling of early primate gastrulation in utero.,Research,Spatial Integration; Spatial Domain Identification,medium,,,,,
41476112,Bridging the dimensional gap from planar spatial transcriptomics to 3D cell atlases.,Technology,3D Reconstruction; Spatial Integration,medium,,,,,
39999448,Spatial single-cell proteomics landscape decodes the tumor microenvironmental ecosystem of intrahepatic cholangiocarcino,Research,Cell-Cell Communication; Niche & Microenvironment; Image-Based Analysis; Multi-Omics Integration,high,,,,,
29130201,Quantifying Gene Expression in Living Cells with Ratiometric Bimolecular Beacons.,Protocol,Image-Based Analysis,medium,,,,,
34541590,Microfluidic single-cell transcriptomics: moving towards multimodal and spatiotemporal omics.,Review,,high,,,,,
38110427,Pathway centric analysis for single-cell RNA-seq and spatial transcriptomics data with GSDensity.,Technology,Spatially Variable Genes; Spatial Integration,high,,,,,
26823385,Comparison of fluorescence in-situ hybridisation with dual-colour in-situ hybridisation for assessment of HER2 gene ampl,Benchmark,,medium,,,,,
38785552,A Spatial Transcriptomics Browser for Discovering Gene Expression Landscapes across Microscopic Tissue Sections.,Technology,Cell-Cell Communication; Niche & Microenvironment; Spatial Co-Expression,high,,,,,
41072151,The epidermal immune microenvironment plays a central role in the pathogenesis of psoriasis.,Review,Cell-Cell Communication; Niche & Microenvironment,medium,,,,,
41976025,Pan-Transcriptome Analyses of Multiple Tissues and Growth Stages Create Expression Atlases for the Silkworm <i>Bombyx mo,Data Resource,,medium,,,,,
40310723,Meningeal-derived retinoic acid regulates neurogenesis via suppression of Notch and Sox2.,Research,,medium,,,,,
40598307,Automated integration of multi-slice spatial transcriptomics data in 2D and 3D using VR-Omics.,Technology,Spatial Integration; 3D Reconstruction; Spatial Preprocessing; Benchmarking & Evaluation,high,,,,,
40775545,Multi-omics dissection of CPNE1 reveals its prognostic value and immune-regulatory function in liver cancer.,Research,Cell-Cell Communication; Niche & Microenvironment; Multi-Omics Integration,medium,,,,,
41282859,A lifespan transcriptomic atlas of the human prefrontal cortex at single-cell resolution.,Research,Spatial Trajectory Inference; Spatially Variable Genes; Spatial Integration,high,,,,,
40229283,MGAT1-Guided complex N-Glycans on CD73 regulate immune evasion in triple-negative breast cancer.,Research,Multi-Omics Integration; Cell-Cell Communication,medium,,,,,
38617262,Seq-Scope Protocol: Repurposing Illumina Sequencing Flow Cells for High-Resolution Spatial Transcriptomics.,Protocol,Image-Based Analysis; Spatial Preprocessing,medium,,,,,
40794429,Urine proteomic signatures of kidney function decline after hospitalization.,Research,Multi-Omics Integration; Spatial Integration,medium,,,,,
41933187,Benchmarking alignment methods for spatial transcriptomics data.,Benchmark,Spatial Integration; Benchmarking & Evaluation,high,,,,,
